#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
-37.413841,127,58.060305
-72.047423,149,58.3999
-80.38184,90,58.611942
-81.190442,87,58.816511
-115.059864,105,59.049436
-84.266778,93,59.250311
-100.569308,93,59.463318
-69.756107,54,59.582208
-66.949753,96,59.783444
8.443039,83,59.969583
-32.670189,73,60.136256
-192.000722,102,60.36367
-132.963233,98,60.583722
-103.713412,77,60.750576
-65.933369,86,60.95068
-123.692706,97,61.170801
-67.952772,62,61.311964
-30.852872,65,61.469628
-88.946403,119,61.733193
-53.676739,68,61.885589
-102.889216,67,62.039901
-92.872497,137,62.349458
-223.370743,100,62.58038
-135.095133,146,62.906406
-220.229772,109,63.139085
-50.686957,95,63.363061
-85.221101,80,63.554737
-87.815107,91,63.758616
-184.382786,112,64.024322
-310.018238,90,64.229656
-109.044025,77,64.403554
-90.440822,121,64.677401
-48.776446,92,64.889923
-105.141524,102,65.127635
-100.875273,85,65.317591
-46.704872,82,65.517234
-155.504278,93,65.73344
-65.226048,68,65.893274
-94.046373,106,66.131836
-97.002159,61,66.276539
-87.618066,76,66.4498
-79.75593,103,66.694168
-80.544089,64,66.847374
-93.893041,147,67.192904
-109.911352,94,67.416177
-76.244924,88,67.617525
-88.44044,136,67.928488
-91.858279,119,68.212651
-83.02035,94,68.429804
-75.920922,90,68.641486
-87.266301,71,68.810031
-83.670088,91,69.030622
-92.368045,73,69.207757
-76.846832,102,69.450148
-46.58755,104,69.697555
-83.903802,114,69.948716
-62.258774,130,70.277503
-231.614048,106,70.533304
-75.515596,73,70.715572
-95.041936,72,70.887355
-168.638299,100,71.137429
-49.713934,139,71.456176
-57.578351,130,71.769406
-86.413285,94,71.987461
-111.741893,108,72.237612
-117.214469,68,72.402585
-62.004842,80,72.588327
-50.192859,85,72.798409
-94.422152,95,73.010121
-89.392366,77,73.192772
-80.150668,96,73.42071
-141.069433,96,73.639205
-77.803444,98,73.853081
-94.000578,82,74.050131
-59.792258,66,74.189752
-82.771045,127,74.471717
-154.241426,132,74.768124
-97.680853,95,74.993448
-280.483774,135,75.293365
-91.806402,85,75.50765
-82.791728,116,75.787803
-95.286003,80,75.962896
-70.794481,85,76.157188
-39.678909,126,76.441118
-80.176732,56,76.567914
-64.21007,83,76.756162
-107.785403,84,76.945596
-111.513913,89,77.150931
-84.121834,92,77.354162
-116.34327,90,77.567565
-85.974127,106,77.80583
-62.782593,94,78.024668
-68.520142,90,78.227689
-39.1405,64,78.377631
-58.129828,67,78.530224
-48.446412,74,78.709049
-158.070464,107,78.948678
-34.914197,71,79.115562
-117.492117,131,79.420498
-74.550961,84,79.618053
-13.717318,149,79.974342
-76.042921,124,80.249381
-60.243375,69,80.411648
-50.753711,72,80.57061
-59.55813,117,80.845593
-90.992287,92,81.058058
-36.141621,109,81.307779
-98.819306,96,81.537881
-174.126814,111,81.798059
-54.745655,66,81.940247
-93.080517,64,82.083077
-47.884715,74,82.254194
-138.963423,106,82.490531
-59.871648,93,82.70072
-111.864259,98,82.932287
-80.145949,82,83.122935
-42.789495,83,83.317695
-244.455743,128,83.622067
-74.262127,60,83.757999
-38.610503,90,83.967914
-67.457886,104,84.21023
-96.95105,77,84.390125
-95.334453,89,84.598965
-69.8594,86,84.840176
-96.81516,117,85.127911
-68.46558,64,85.274103
-44.050559,99,85.502534
-98.344235,87,85.709029
-115.776993,112,85.987079
