#{"t_start": 1759412282.3366299, "env_id": "LunarLander-v3"}
r,l,t
-1866.704952,213,29.745114
-1810.982902,236,29.881202
-1845.506835,208,29.983046
-1204.10115,197,30.332836
-554.985695,115,30.403965
-473.667877,74,30.444293
-1149.21278,166,30.516616
-2267.034708,256,30.898972
-723.65506,100,30.954629
-674.346394,92,31.006017
-439.554842,89,31.336718
-878.311577,125,31.410545
-922.397568,172,31.524379
-568.447039,117,31.584693
-649.945293,94,31.889954
-432.674056,95,31.938047
-602.956542,82,31.982031
-701.5553,122,32.051941
-1040.374908,199,32.411717
-612.464979,85,32.462377
-503.186683,100,32.53555
-536.700566,90,32.591107
-435.382297,88,32.636555
-416.727398,74,32.674682
-829.506155,121,33.004143
-1007.245157,171,33.106956
-577.863111,75,33.152571
-1413.748722,226,33.51363
-818.463104,125,33.58684
-497.607948,73,33.632246
-804.757197,110,33.695114
-1003.533901,140,33.771056
-643.611315,101,34.110384
-547.202352,79,34.164897
-1751.079669,242,34.296554
-613.015966,108,34.350471
-1452.56288,194,34.71764
-536.444499,76,34.763083
-1398.299096,232,34.88706
-828.304035,120,35.212308
-544.915026,90,35.27687
-547.544744,77,35.325031
-762.371137,113,35.388427
-674.44355,110,35.441714
-606.23366,121,35.750492
-394.630906,79,35.795982
-1581.187023,214,35.926008
-590.858351,77,35.964386
-717.886895,113,36.256794
-739.399917,108,36.321667
-530.375942,82,36.366389
-705.339262,97,36.424856
-781.706284,104,36.474744
-1066.061682,157,36.832977
-530.104035,77,36.877581
-556.411994,82,36.928194
-717.321086,122,36.993367
-517.678918,74,37.02614
-1091.801119,137,37.362486
-606.651216,101,37.430978
-1241.727531,153,37.544879
-596.487829,82,37.578042
-529.782479,77,37.613191
-628.905202,75,37.913007
-1544.043895,201,38.027469
-586.425007,97,38.087256
-699.133463,97,38.136781
-501.179721,73,38.173942
-507.729858,90,38.482513
-1147.737447,202,38.595577
-707.430503,81,38.644669
-809.432421,106,38.694334
-842.889185,152,39.028579
-924.776216,127,39.104286
-589.784133,98,39.161513
-554.13132,86,39.197101
-1085.136482,160,39.52878
-654.949155,96,39.584797
-863.227936,154,39.671694
-461.721041,102,39.715665
-650.624505,86,39.762066
-596.534669,87,40.054011
-1224.841349,150,40.137074
-666.956121,114,40.204646
-828.872893,135,40.27598
-1052.244711,145,40.58358
-408.676069,80,40.626129
-717.982208,94,40.681208
-674.610743,80,40.72564
-703.347409,107,40.777815
-375.330332,79,41.047228
-586.509837,99,41.101596
-964.42239,136,41.174258
-530.812917,80,41.219414
-610.488781,103,41.272892
-1583.243187,208,41.603759
-1140.773922,166,41.697085
-1443.188506,172,41.784188
-603.80828,82,42.069758
-712.8939,95,42.125107
-896.381867,146,42.20784
-465.997568,84,42.254828
-986.85213,162,42.567789
-633.552481,101,42.63917
-689.02524,120,42.705686
-496.996774,82,42.750908
-1106.767187,167,42.834318
-472.204158,107,43.187154
-747.14683,123,43.260162
-707.199109,112,43.327828
-1355.801366,177,43.730583
-1406.062164,200,43.844361
-596.411635,73,43.890384
-393.323173,96,43.940333
-834.793701,165,44.301101
-2719.388277,301,44.4785
-1028.726657,154,44.548032
-1070.896351,135,44.902404
-371.882173,79,44.94722
-1437.094678,220,45.069933
-849.352782,113,45.408471
-548.739786,101,45.480605
-1345.752661,208,45.589628
-812.876915,145,45.670907
