#{"t_start": 1759397050.241813, "env_id": "LunarLander-v3"}
r,l,t
159.694558,1000,34.530677
-12.788261,169,34.622533
-267.980023,168,34.706123
-11.009016,235,34.822606
-10.733617,151,34.898304
-140.269611,233,35.013488
-105.321344,200,35.112896
-267.833918,159,35.195684
-83.201901,284,36.483295
-48.580874,124,36.550923
-155.140952,212,36.664631
-178.651599,226,36.773046
-142.076405,170,36.86079
-27.353882,208,36.965086
-184.767477,211,37.06583
89.548594,1000,38.672009
-75.017424,161,38.757002
13.193554,119,38.818477
-175.934443,209,38.921269
-285.058308,221,39.034073
-12.608365,250,39.161174
-12.066112,212,39.271288
-39.273251,156,39.340895
-24.769615,254,39.472979
123.642625,1000,41.041133
30.282389,192,41.133765
-49.793777,191,41.230956
-35.238785,249,41.355808
-63.830386,171,41.441212
-29.065021,243,41.574493
-54.260164,210,42.747478
-175.711707,337,42.933786
-145.490265,217,43.044273
-46.335634,276,43.181204
3.325597,208,43.281223
141.187462,1000,44.835897
5.308993,242,44.97466
-130.716292,414,45.181494
-82.505058,431,45.393235
-97.293654,181,45.481073
-46.466587,197,45.578787
-135.389061,305,45.728987
150.65369,1000,47.351062
54.853485,1000,47.8614
28.982017,1000,49.472389
-58.399364,637,49.787431
-107.29329,699,51.206135
90.683982,1000,51.731575
-179.592477,472,51.961207
-155.491562,324,52.131274
-45.793493,451,53.411363
-16.201336,274,53.557709
163.423747,742,53.931296
-35.450871,283,54.071496
-48.037449,395,54.26311
128.689604,836,55.7565
-47.020868,396,55.951458
127.507853,1000,57.499233
-17.540227,322,57.671703
-37.095317,351,57.849868
-103.566719,360,58.021379
252.16153,590,58.318587
-2.828763,285,58.46176
135.730227,969,60.011413
-33.96605,435,60.224252
-21.764758,450,60.446397
-145.657215,600,61.841401
-122.839332,443,62.061802
5.795151,168,62.145766
-110.012413,553,62.431411
-81.47721,400,62.633487
198.676459,461,63.955636
13.329394,400,64.156492
226.602634,552,64.431798
-99.013498,448,64.651826
154.307133,419,65.911904
184.927409,563,66.205523
183.620245,499,66.451738
-3.57579,236,66.569762
197.993404,601,66.866066
199.294711,770,68.358466
-70.787028,328,68.521858
-28.253922,232,68.634047
-46.85239,356,68.811581
238.733365,461,70.104926
216.230527,435,70.346113
220.20839,560,70.625777
-71.460593,428,70.834031
245.96271,433,71.046022
118.950279,799,72.527259
-30.317554,219,72.636829
222.76059,445,72.858561
157.044599,560,73.136848
178.999694,442,74.417957
-71.140517,295,74.572642
218.95222,482,74.809238
-76.357486,306,74.960987
-51.980486,313,75.1157
-9.171612,260,75.243937
211.324655,538,76.601912
215.81811,490,76.846452
-44.497292,270,76.982222
199.243794,514,77.240365
217.336074,474,78.532443
-40.622953,283,78.686191
-14.746776,234,78.802168
246.629271,651,79.130365
-60.911618,245,79.251176
-35.546661,269,79.383487
-44.237289,339,80.601853
175.986922,589,80.918939
219.99632,468,81.149807
111.031026,847,81.574697
198.498423,743,83.030203
171.871241,641,83.354373
-90.915127,417,83.585559
173.392039,681,85.021951
187.195843,640,85.336182
90.603181,884,85.772395
165.961391,655,87.156471
122.599209,698,87.500546
-73.617034,591,87.791342
209.104919,633,89.136088
-137.442244,754,89.50663
217.327457,457,89.730426
-183.206306,720,91.16285
-81.839489,548,91.439149
-64.991349,406,91.641145
220.962901,498,91.8866
-119.633586,486,93.198797
-127.746025,602,93.513184
80.868105,781,93.901568
217.279975,560,95.219651
192.860322,581,95.525548
142.73263,602,95.82231
